Barcode,Call Number,ID,Lname,Fname,LName2,FName2,TheRest,Author/Editor,Title,Volume/Edition,Holding,Sort1,Sort2,DO NOT INCLUDE,DECIMAL CHECK,Don't Include,Sort3,Nope,Sort4,Sort5,Sort6,Sort7,Sort8,Sort9,Sort10,Sort11,Sort12,Sort13,Sort14,Processing Notes,APA Citation,Chicago Citation,Date of Entry,Notes,Column1,Column2
,AE 5 E562 1875 v. 16,6182,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XVI,AE 5 E562 1875 v. 16,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,16,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 17,6183,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XVII,AE 5 E562 1875 v. 17,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,17,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 18,6184,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XVIII,AE 5 E562 1875 v. 18,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,18,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 19,6185,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XIX,AE 5 E562 1875 v. 19,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,19,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 20,6186,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XX,AE 5 E562 1875 v. 20,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,20,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 21,6187,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XXI,AE 5 E562 1875 v. 21,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,21,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 22,6188,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XXII,AE 5 E562 1875 v. 22,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,22,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 23,6189,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XXIII,AE 5 E562 1875 v. 23,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,23,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 24,6190,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XXIV,AE 5 E562 1875 v. 24,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,24,,,,,,,,,,,Glass Display Case 2,,
,AE 5 E562 1875 v. 25,6191,,,,,,,"The Encyclopedia Britannica: a Dictionary of Arts, Sciences, and General Literatures",Ninth Edition/ vol.XXV,AE 5 E562 1875 v. 25,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1875,v,25,,,,,,,,,,,Glass Display Case 2,,
L0112033113,AE 5 E562 1910 v. 1,7221,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.I,AE 5 E562 1910 v. 1,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,1,,,,,,,,,,,,,
L0112033121,AE 5 E562 1910 v. 2,7222,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.II,AE 5 E562 1910 v. 2,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,2,,,,,,,,,,,,,
L0112033139,AE 5 E562 1910 v. 3,7223,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.III,AE 5 E562 1910 v. 3,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,3,,,,,,,,,,,,,
L0112033147,AE 5 E562 1910 v. 4,7224,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.IV,AE 5 E562 1910 v. 4,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,4,,,,,,,,,,,,,
L0112033154,AE 5 E562 1910 v. 5,7225,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.V,AE 5 E562 1910 v. 5,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,5,,,,,,,,,,,,,
L0112033162,AE 5 E562 1910 v. 6,7226,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.VI,AE 5 E562 1910 v. 6,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,6,,,,,,,,,,,,,
L0112033170,AE 5 E562 1910 v. 7,7227,,,,,,,Encyclopaedia Britannica,Elevneth Edition/ vol.VII,AE 5 E562 1910 v. 7,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,7,,,,,,,,,,,,,
L0112033188,AE 5 E562 1910 v. 8,7228,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.VIII,AE 5 E562 1910 v. 8,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,8,,,,,,,,,,,,,
L0112033196,AE 5 E562 1910 v. 9,7229,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.IX,AE 5 E562 1910 v. 9,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,9,,,,,,,,,,,,,
L0112033204,AE 5 E562 1910 v. 10,7230,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.X,AE 5 E562 1910 v. 10,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,10,,,,,,,,,,,,,
L0112033212,AE 5 E562 1910 v. 11,7231,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XI,AE 5 E562 1910 v. 11,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,11,,,,,,,,,,,,,
L0112033220,AE 5 E562 1910 v. 12,7232,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XII,AE 5 E562 1910 v. 12,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,12,,,,,,,,,,,,,
L0112033238,AE 5 E562 1910 v. 13,7233,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XIII,AE 5 E562 1910 v. 13,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,13,,,,,,,,,,,,,
L0112033246,AE 5 E562 1910 v. 14,7234,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XIV,AE 5 E562 1910 v. 14,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,14,,,,,,,,,,,,,
L0112033253,AE 5 E562 1910 v. 15,7235,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XV,AE 5 E562 1910 v. 15,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,15,,,,,,,,,,,,,
L0112033261,AE 5 E562 1910 v. 16,7236,,,,,,,Encyclopaedia Britannica,Eleventh Edition/ vol.XVI,AE 5 E562 1910 v. 16,AE,5,E562,TRUE,.E562,.E,#NAME?,562,#NAME?,1910,v,16,,,,,,,,,,,,,
